,GENERO,EDAD,NIV_EDUC,E_CIVIL,CIUDAD,M_MOROSO,MONTO,SEGURO,logVM_MayoAbril,logVM_AbrilMarzo,logVM_JunioMayo,logVM_JulioJunio,logVM_AgostoJulio,logVM_SeptiembreAgosto,Recency,Frecuencia,logDMax/Renta,logMTD/Renta,PREDICTED
0,0.0,0.5581395348837211,1.0,0.0,0.012345679012345678,0.3333333333333333,0.2933333333333333,0.0,3.1221044789641443e-07,0.8079514754946172,0.6669931111608146,5.412257538072727e-06,0.06159346289975545,0.5020947644158051,1.0,0.42857142857142855,0.13320621338437902,0.04140896756896973,No Fuga
1,1.0,0.2093023255813954,0.6000000000000001,0.3333333333333333,0.308641975308642,0.0,0.1866666666666667,0.0,1.3121358030913094e-06,0.7154165930025252,0.04659028150588655,0.07738607097349462,0.06159346289975545,0.1153715387510477,1.0,0.2857142857142857,0.0,0.002263007567592855,No Fuga
2,0.0,0.6976744186046511,1.0,0.0,0.037037037037037035,0.3333333333333333,0.08,1.0,1.0036780366453427e-06,0.006272280212655934,0.8403038005625302,9.79273014696265e-05,0.2303025774091749,2.7543639536605664e-05,0.8888888888888888,0.7142857142857142,0.04411746180613069,0.1103535001034416,No Fuga
3,1.0,0.4651162790697675,0.4000000000000001,0.3333333333333333,0.012345679012345678,1.0,0.4,0.0,5.96755860303997e-05,0.4626750337588771,0.8658201286333351,0.0005561035158853797,3.2200105529322934e-05,0.5768617394116132,1.0,0.5714285714285714,0.16470918100478074,0.07199367469234054,No Fuga
4,0.0,0.4883720930232558,0.4000000000000001,0.0,0.012345679012345678,0.3333333333333333,0.2,0.0,2.2000901496640701e-07,0.8296810515311777,0.7652043704484683,9.512344712772043e-05,0.0011641398931281815,0.3070011966372401,1.0,0.5714285714285714,0.0,0.005459888825051188,Fuga
5,1.0,0.41860465116279066,0.4000000000000001,1.0,0.012345679012345678,0.0,0.2266666666666667,0.0,0.0436730855129161,0.04606298492095635,0.7715200923594998,1.0946077255205937e-06,0.7356336778615341,0.007948374711125934,1.0,0.42857142857142855,0.0,0.002795304436666532,No Fuga
6,1.0,0.18604651162790695,0.4000000000000001,0.3333333333333333,0.012345679012345678,0.3333333333333333,0.053333333333333344,0.0,2.6653884082516857e-07,0.8178318762902077,0.04659028150588655,0.20004018852405325,0.016191553925028933,0.057685263668477024,0.7777777777777777,0.2857142857142857,0.6170410598388119,0.5485588421529543,No Fuga
7,0.0,0.5581395348837211,0.6000000000000001,0.3333333333333333,0.037037037037037035,0.3333333333333333,0.4400000000000001,1.0,2.4502892933504663e-07,0.8230484614822418,0.04659028150588655,0.17968497323138846,0.019819791024240016,0.3716683994288957,1.0,0.42857142857142855,0.12218802341958715,0.031031410929494862,Fuga
8,1.0,0.4418604651162791,1.0,0.0,0.12345679012345677,0.6666666666666666,0.17333333333333334,0.0,2.817096374403451e-07,0.8143843469213641,0.8041334389486073,0.00020962677158263709,0.238295308320314,0.014345742854334268,1.0,0.7142857142857142,0.23544666790521315,0.1635579625734337,No Fuga
9,0.0,0.4883720930232558,0.4000000000000001,0.6666666666666667,0.012345679012345678,0.6666666666666666,0.4266666666666667,0.0,1.940342799315333e-08,0.9521015090806804,0.7530691190268014,0.006254806682454279,0.041326156917143815,0.007187777810784745,1.0,0.7142857142857142,0.08120676025120738,0.10155724361380172,No Fuga
